"totalListings" "totalTickets" "minQuantity" "maxQuantity" "mapDisplayType" "eventid" "timestamp"
638 1555 1 10 "section" 9220597 "03-16-2015_06.00.09"
669 1624 1 8 "section" 9220595 "03-16-2015_12.00.01"
696 1626 1 10 "section" 9220596 "03-16-2015_12.00.06"
633 1539 1 10 "section" 9220597 "03-16-2015_12.00.15"
664 1609 1 8 "section" 9220595 "03-16-2015_18.00.05"
690 1614 1 10 "section" 9220596 "03-16-2015_18.00.10"
627 1528 1 10 "section" 9220597 "03-16-2015_18.00.16"
672 1627 1 8 "section" 9220595 "03-17-2015_00.00.01"
688 1608 1 10 "section" 9220596 "03-17-2015_00.00.09"
626 1526 1 10 "section" 9220597 "03-17-2015_00.00.15"
672 1627 1 8 "section" 9220595 "03-17-2015_06.00.01"
689 1610 1 10 "section" 9220596 "03-17-2015_06.00.06"
624 1521 1 10 "section" 9220597 "03-17-2015_06.00.10"
666 1608 1 8 "section" 9220595 "03-17-2015_12.00.01"
685 1605 1 10 "section" 9220596 "03-17-2015_12.00.08"
618 1502 1 10 "section" 9220597 "03-17-2015_12.00.16"
659 1580 1 8 "section" 9220595 "03-17-2015_18.00.06"
673 1581 1 10 "section" 9220596 "03-17-2015_18.00.25"
616 1506 1 10 "section" 9220597 "03-17-2015_18.00.32"
654 1571 1 8 "section" 9220595 "03-18-2015_06.00.01"
662 1555 1 10 "section" 9220596 "03-18-2015_06.00.24"
613 1498 1 10 "section" 9220597 "03-18-2015_06.00.42"
657 1583 1 8 "section" 9220595 "03-18-2015_12.00.07"
665 1564 1 10 "section" 9220596 "03-18-2015_12.00.26"
616 1509 1 10 "section" 9220597 "03-18-2015_12.00.40"
658 1585 1 8 "section" 9220595 "03-18-2015_18.00.01"
668 1572 1 10 "section" 9220596 "03-18-2015_18.00.06"
615 1510 1 10 "section" 9220597 "03-18-2015_18.00.13"
660 1589 1 8 "section" 9220595 "03-19-2015_00.00.01"
668 1573 1 10 "section" 9220596 "03-19-2015_00.00.56"
618 1517 1 10 "section" 9220597 "03-19-2015_00.01.13"
660 1589 1 8 "section" 9220595 "03-19-2015_06.00.01"
668 1573 1 10 "section" 9220596 "03-19-2015_06.00.10"
617 1515 1 10 "section" 9220597 "03-19-2015_06.00.18"
664 1596 1 8 "section" 9220595 "03-19-2015_12.00.01"
666 1572 1 10 "section" 9220596 "03-19-2015_12.00.10"
617 1516 1 10 "section" 9220597 "03-19-2015_12.00.18"
684 1668 1 8 "section" 9220595 "03-19-2015_18.00.07"
686 1658 1 10 "section" 9220596 "03-19-2015_18.17.11"
634 1576 1 10 "section" 9220597 "03-19-2015_18.23.50"
685 1671 1 8 "section" 9220595 "03-20-2015_12.00.01"
683 1659 1 10 "section" 9220596 "03-20-2015_12.00.17"
630 1564 1 10 "section" 9220597 "03-20-2015_12.00.31"
682 1664 1 8 "section" 9220595 "03-20-2015_18.00.04"
686 1668 1 10 "section" 9220596 "03-20-2015_18.00.09"
629 1564 1 10 "section" 9220597 "03-20-2015_18.00.14"
681 1662 1 8 "section" 9220595 "03-21-2015_00.00.01"
683 1663 1 10 "section" 9220596 "03-21-2015_00.00.27"
627 1561 1 10 "section" 9220597 "03-21-2015_00.01.00"
681 1662 1 8 "section" 9220595 "03-21-2015_06.00.01"
683 1663 1 10 "section" 9220596 "03-21-2015_06.00.30"
628 1563 1 10 "section" 9220597 "03-21-2015_06.00.43"
683 1668 1 8 "section" 9220595 "03-21-2015_12.00.01"
